id v_1_x v_1_y v_1_z v_2_x v_2_y v_2_z v_3_x v_3_y v_3_z v_4_x v_4_y v_4_z face fix_aix ang layer
151 51.31 0.0 13.1 51.31 0.0 14.9 54.46 0.0 14.9 54.46 0.0 13.1 5 y 270 5
152 59.51 0.0 13.1 59.51 0.0 14.9 63.52 0.0 14.9 63.52 0.0 13.1 5 y 270 5
153 68.38 6.58 13.1 68.38 6.58 14.9 68.38 4.49 14.9 68.38 4.49 13.1 6 x 0 5
154 68.38 12.69 13.1 68.38 12.69 14.9 68.38 9.54 14.9 68.38 9.54 13.1 6 x 0 5
155 68.38 19.55 13.1 68.38 19.55 14.9 68.38 16.69 14.9 68.38 16.69 13.1 6 x 0 5
156 65.01 25.56 13.1 65.01 25.56 14.9 68.19 25.56 14.9 68.19 25.56 13.1 7 y 90 5
157 57.41 25.56 13.1 57.41 25.56 14.9 61.51 25.56 14.9 61.51 25.56 13.1 7 y 90 5
158 50.74 25.56 13.1 50.74 25.56 14.9 54.84 25.56 14.9 54.84 25.56 13.1 7 y 90 5
159 43.97 25.56 13.1 43.97 25.56 14.9 47.97 25.56 14.9 47.97 25.56 13.1 7 y 90 5
160 32.81 36.53 16.1 32.81 36.53 17.9 32.81 32.62 17.9 32.81 32.62 16.1 1 x 0 6
161 32.81 43.4 16.1 32.81 43.4 17.9 32.81 39.49 17.9 32.81 39.49 16.1 1 x 0 6
162 32.81 49.89 16.1 32.81 49.89 17.9 32.81 46.16 17.9 32.81 46.16 16.1 1 x 0 6
163 32.81 57.89 16.1 32.81 57.89 17.9 32.81 54.55 17.9 32.81 54.55 16.1 1 x 0 6
164 15.83 58.37 16.1 15.83 58.37 17.9 20.22 58.37 17.9 20.22 58.37 16.1 2 y 90 6
165 9.35 58.37 16.1 9.35 58.37 17.9 13.54 58.37 17.9 13.54 58.37 16.1 2 y 90 6
166 2.67 58.37 16.1 2.67 58.37 17.9 6.48 58.37 17.9 6.48 58.37 16.1 2 y 90 6
167 0.0 55.79 16.1 0.0 55.79 17.9 0.0 53.88 17.9 0.0 53.88 16.1 3 x 180 6
168 0.0 50.45 16.1 0.0 50.45 17.9 0.0 47.31 17.9 0.0 47.31 16.1 3 x 180 6
169 0.0 43.78 16.1 0.0 43.78 17.9 0.0 40.92 17.9 0.0 40.92 16.1 3 x 180 6
170 0.0 36.43 16.1 0.0 36.43 17.9 0.0 33.57 17.9 0.0 33.57 16.1 3 x 180 6
171 0.0 29.19 16.1 0.0 29.19 17.9 0.0 27.28 17.9 0.0 27.28 16.1 3 x 180 6
172 3.53 24.32 16.1 3.53 24.32 17.9 3.53 20.87 17.9 3.53 20.87 16.1 4 x 180 6
173 3.53 19.46 16.1 3.53 19.46 17.9 3.53 17.77 17.9 3.53 17.77 16.1 4 x 180 6
174 3.53 15.17 16.1 3.53 15.17 17.9 3.53 11.92 17.9 3.53 11.92 16.1 4 x 180 6
175 3.53 8.11 16.1 3.53 8.11 17.9 3.53 5.34 17.9 3.53 5.34 16.1 4 x 180 6
176 5.44 0.0 16.1 5.44 0.0 17.9 6.87 0.0 17.9 6.87 0.0 16.1 5 y 270 6
177 11.25 0.0 16.1 11.25 0.0 17.9 14.02 0.0 17.9 14.02 0.0 16.1 5 y 270 6
178 17.93 0.0 16.1 17.93 0.0 17.9 20.6 0.0 17.9 20.6 0.0 16.1 5 y 270 6
179 24.41 0.0 16.1 24.41 0.0 17.9 27.18 0.0 17.9 27.18 0.0 16.1 5 y 270 6
180 31.09 0.0 16.1 31.09 0.0 17.9 34.05 0.0 17.9 34.05 0.0 16.1 5 y 270 6
181 37.86 0.0 16.1 37.86 0.0 17.9 40.72 0.0 17.9 40.72 0.0 16.1 5 y 270 6
182 44.82 0.0 16.1 44.82 0.0 17.9 47.49 0.0 17.9 47.49 0.0 16.1 5 y 270 6
183 51.31 0.0 16.1 51.31 0.0 17.9 54.46 0.0 17.9 54.46 0.0 16.1 5 y 270 6
184 59.51 0.0 16.1 59.51 0.0 17.9 63.52 0.0 17.9 63.52 0.0 16.1 5 y 270 6
185 68.38 6.58 16.1 68.38 6.58 17.9 68.38 4.49 17.9 68.38 4.49 16.1 6 x 0 6
186 68.38 12.69 16.1 68.38 12.69 17.9 68.38 9.54 17.9 68.38 9.54 16.1 6 x 0 6
187 68.38 19.55 16.1 68.38 19.55 17.9 68.38 16.69 17.9 68.38 16.69 16.1 6 x 0 6
188 65.01 25.56 16.1 65.01 25.56 17.9 68.19 25.56 17.9 68.19 25.56 16.1 7 y 90 6
189 57.41 25.56 16.1 57.41 25.56 17.9 61.51 25.56 17.9 61.51 25.56 16.1 7 y 90 6
190 50.74 25.56 16.1 50.74 25.56 17.9 54.84 25.56 17.9 54.84 25.56 16.1 7 y 90 6
191 43.97 25.56 16.1 43.97 25.56 17.9 47.97 25.56 17.9 47.97 25.56 16.1 7 y 90 6
192 32.81 36.53 19.1 32.81 36.53 20.9 32.81 32.62 20.9 32.81 32.62 19.1 1 x 0 7
193 32.81 43.4 19.1 32.81 43.4 20.9 32.81 39.49 20.9 32.81 39.49 19.1 1 x 0 7
194 32.81 49.89 19.1 32.81 49.89 20.9 32.81 46.16 20.9 32.81 46.16 19.1 1 x 0 7
195 32.81 57.89 19.1 32.81 57.89 20.9 32.81 54.55 20.9 32.81 54.55 19.1 1 x 0 7
196 15.83 58.37 19.1 15.83 58.37 20.9 20.22 58.37 20.9 20.22 58.37 19.1 2 y 90 7
197 9.35 58.37 19.1 9.35 58.37 20.9 13.54 58.37 20.9 13.54 58.37 19.1 2 y 90 7
198 2.67 58.37 19.1 2.67 58.37 20.9 6.48 58.37 20.9 6.48 58.37 19.1 2 y 90 7
199 0.0 55.79 19.1 0.0 55.79 20.9 0.0 53.88 20.9 0.0 53.88 19.1 3 x 180 7
200 0.0 50.45 19.1 0.0 50.45 20.9 0.0 47.31 20.9 0.0 47.31 19.1 3 x 180 7
201 0.0 43.78 19.1 0.0 43.78 20.9 0.0 40.92 20.9 0.0 40.92 19.1 3 x 180 7
202 0.0 36.43 19.1 0.0 36.43 20.9 0.0 33.57 20.9 0.0 33.57 19.1 3 x 180 7
203 0.0 29.19 19.1 0.0 29.19 20.9 0.0 27.28 20.9 0.0 27.28 19.1 3 x 180 7
204 3.53 24.32 19.1 3.53 24.32 20.9 3.53 20.87 20.9 3.53 20.87 19.1 4 x 180 7
205 3.53 19.46 19.1 3.53 19.46 20.9 3.53 17.77 20.9 3.53 17.77 19.1 4 x 180 7
206 3.53 15.17 19.1 3.53 15.17 20.9 3.53 11.92 20.9 3.53 11.92 19.1 4 x 180 7
207 3.53 8.11 19.1 3.53 8.11 20.9 3.53 5.34 20.9 3.53 5.34 19.1 4 x 180 7
208 5.44 0.0 19.1 5.44 0.0 20.9 6.87 0.0 20.9 6.87 0.0 19.1 5 y 270 7
209 11.25 0.0 19.1 11.25 0.0 20.9 14.02 0.0 20.9 14.02 0.0 19.1 5 y 270 7
210 17.93 0.0 19.1 17.93 0.0 20.9 20.6 0.0 20.9 20.6 0.0 19.1 5 y 270 7
211 24.41 0.0 19.1 24.41 0.0 20.9 27.18 0.0 20.9 27.18 0.0 19.1 5 y 270 7
212 31.09 0.0 19.1 31.09 0.0 20.9 34.05 0.0 20.9 34.05 0.0 19.1 5 y 270 7
213 37.86 0.0 19.1 37.86 0.0 20.9 40.72 0.0 20.9 40.72 0.0 19.1 5 y 270 7
214 44.82 0.0 19.1 44.82 0.0 20.9 47.49 0.0 20.9 47.49 0.0 19.1 5 y 270 7
215 51.31 0.0 19.1 51.31 0.0 20.9 54.46 0.0 20.9 54.46 0.0 19.1 5 y 270 7
216 59.51 0.0 19.1 59.51 0.0 20.9 63.52 0.0 20.9 63.52 0.0 19.1 5 y 270 7
217 68.38 6.58 19.1 68.38 6.58 20.9 68.38 4.49 20.9 68.38 4.49 19.1 6 x 0 7
218 68.38 12.69 19.1 68.38 12.69 20.9 68.38 9.54 20.9 68.38 9.54 19.1 6 x 0 7
219 68.38 19.55 19.1 68.38 19.55 20.9 68.38 16.69 20.9 68.38 16.69 19.1 6 x 0 7
220 65.01 25.56 19.1 65.01 25.56 20.9 68.19 25.56 20.9 68.19 25.56 19.1 7 y 90 7
221 57.41 25.56 19.1 57.41 25.56 20.9 61.51 25.56 20.9 61.51 25.56 19.1 7 y 90 7
222 50.74 25.56 19.1 50.74 25.56 20.9 54.84 25.56 20.9 54.84 25.56 19.1 7 y 90 7
223 43.97 25.56 19.1 43.97 25.56 20.9 47.97 25.56 20.9 47.97 25.56 19.1 7 y 90 7
224 32.81 36.53 22.1 32.81 36.53 23.9 32.81 32.62 23.9 32.81 32.62 22.1 1 x 0 8
225 32.81 43.4 22.1 32.81 43.4 23.9 32.81 39.49 23.9 32.81 39.49 22.1 1 x 0 8
226 32.81 49.89 22.1 32.81 49.89 23.9 32.81 46.16 23.9 32.81 46.16 22.1 1 x 0 8
227 32.81 57.89 22.1 32.81 57.89 23.9 32.81 54.55 23.9 32.81 54.55 22.1 1 x 0 8
228 15.83 58.37 22.1 15.83 58.37 23.9 20.22 58.37 23.9 20.22 58.37 22.1 2 y 90 8
229 9.35 58.37 22.1 9.35 58.37 23.9 13.54 58.37 23.9 13.54 58.37 22.1 2 y 90 8
230 2.67 58.37 22.1 2.67 58.37 23.9 6.48 58.37 23.9 6.48 58.37 22.1 2 y 90 8
231 0.0 55.79 22.1 0.0 55.79 23.9 0.0 53.88 23.9 0.0 53.88 22.1 3 x 180 8
232 0.0 50.45 22.1 0.0 50.45 23.9 0.0 47.31 23.9 0.0 47.31 22.1 3 x 180 8
233 0.0 43.78 22.1 0.0 43.78 23.9 0.0 40.92 23.9 0.0 40.92 22.1 3 x 180 8
234 0.0 36.43 22.1 0.0 36.43 23.9 0.0 33.57 23.9 0.0 33.57 22.1 3 x 180 8
235 0.0 29.19 22.1 0.0 29.19 23.9 0.0 27.28 23.9 0.0 27.28 22.1 3 x 180 8
